Pdfs,Title,Subject,Solved,Total
vecmech.pdf,,Векторы и механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",53
kepler.pdf,Законы Кеплера,Механика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",61
ustoravno.pdf,Устойчивость равновесия,Механика,[0 0 0 0 0 0 0],7
integral-mech.pdf,Интеграл. Механика,Механика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],25
Zmech.pdf,Задавальник МФТИ. Механика,Подготовка к олимпиадам по физике,[0],1
atomol.pdf,Атомы и молекулы,Термодинамика,[0 0 0 0 0],5
osnurav_mkt.pdf,Основное уравнение МКТ идеального газа,Термодинамика,[0 0 0 0 0],5
ursos.pdf,Уравнение состояния идеального газа,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]",41
vosh.pdf,Воздушный шар,Термодинамика,[0 0 0 0 0 0 0 0],8
sfersloy.pdf,Сферический слой,Термодинамика,[0 0 0 0 0],5
gaspru.pdf,Газ и пружина,Термодинамика,[0 0 0 0 0 0],6
podvodrab.pdf,Подводные работы,Термодинамика,[0 0 0 0 0],5
smesigas.pdf,Газовые смеси,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0],13
isopr.pdf,Изопроцессы,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],29
trurtu.pdf,Трубка со ртутью,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],15
poluper.pdf,Полупрозрачные перегородки,Термодинамика,[0 0 0 0 0],5
effusion.pdf,Эффузия,Термодинамика,[0 0 0 0],4
vnutren.pdf,Внутренняя энергия,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],26
